"symptomes","maladie"
"fatigue, difficultés respiratoires, toux sèche","Covid-19"
"douleurs musculaires, maux de tête, difficultés respiratoires, fièvre","Covid-19"
"maux de gorge, maux de tête, nez qui coule, toux légère, gorge irritée","Rhume"
"maux de tête, nausée, transpiration abondante, fièvre élevée, douleurs musculaires","Paludisme"
"fièvre élevée, gorge rouge, douleur à la déglutition","Angine"
"maux de tête, nez qui coule, gorge irritée","Rhume"
"fatigue, fièvre modérée, perte du goût","Covid-19"
"fièvre légère, nausée, fatigue, perte d’appétit, maux d’estomac","Gastro-entérite"
"nez bouché, maux de gorge, éternuements","Rhume"
"difficulté à avaler, amygdales gonflées, fièvre, gorge très douloureuse, ganglions enflés","Angine"
"transpiration abondante, douleurs abdominales, nausées, fièvre élevée, fatigue","Paludisme"
"douleurs musculaires, nausée, douleurs abdominales, fièvre élevée, maux de tête","Paludisme"
"diarrhée, vomissements, fièvre légère, maux de ventre, perte d’appétit","Gastro-entérite"
"fièvre légère, maux de ventre, crampes abdominales, fatigue","Gastro-entérite"
"nez bouché, nez qui coule, toux","Grippe"
"fièvre, maux de gorge, toux","Grippe"
"fièvre élevée, amygdales gonflées, gorge très douloureuse","Angine"
"fatigue, difficultés respiratoires, fièvre modérée, maux de tête, toux sèche","Covid-19"
"fièvre élevée, douleur à la déglutition, amygdales gonflées","Angine"
"toux sèche, perte d’odorat, fièvre modérée, difficultés respiratoires","Covid-19"
"maux de gorge, maux de tête, nez bouché, toux sèche","Grippe"
"difficulté à avaler, gorge très douloureuse, fièvre","Angine"
"courbatures, toux, maux de gorge, frissons, toux sèche","Grippe"
"fièvre élevée, douleurs abdominales, nausée","Paludisme"
"fatigue, nausées, maux de tête, frissons","Paludisme"
"maux de gorge, frissons, fatigue, nez qui coule, courbatures","Grippe"
"fièvre, fièvre modérée, perte d’odorat","Covid-19"
"crampes abdominales, vomissements, perte d’appétit, diarrhée, maux d’estomac","Gastro-entérite"
"fatigue, perte du goût, fièvre, toux sèche, perte d’odorat","Covid-19"
"fatigue, nez qui coule, toux, fièvre, courbatures","Grippe"
"nez bouché, toux sèche, maux de tête, frissons","Grippe"
"nausées, frissons, maux de tête","Paludisme"
"nausée, perte d’appétit, diarrhée","Gastro-entérite"
"toux légère, nez qui coule, nez bouché","Rhume"
"fatigue, toux sèche, fièvre modérée, perte d’odorat, perte du goût","Covid-19"
"crampes abdominales, fièvre légère, nausée, fatigue","Gastro-entérite"
"nausée, maux de tête, nausées","Paludisme"
"maux de tête, nez bouché, fatigue légère, éternuements","Rhume"
"maux d’estomac, fièvre légère, perte d’appétit, diarrhée","Gastro-entérite"
"amygdales gonflées, gorge très douloureuse, gorge rouge","Angine"
"fièvre légère, fatigue, perte d’appétit, vomissements, diarrhée","Gastro-entérite"
"fièvre, amygdales gonflées, gorge rouge, difficulté à avaler, ganglions enflés","Angine"
"gorge rouge, gorge très douloureuse, ganglions enflés","Angine"
"perte d’appétit, fatigue, maux d’estomac","Gastro-entérite"
"douleurs musculaires, maux de tête, douleurs abdominales, fatigue, nausées","Paludisme"
"nausée, perte d’appétit, maux d’estomac, fatigue, crampes abdominales","Gastro-entérite"
"perte du goût, maux de tête, toux sèche","Covid-19"
"gorge très douloureuse, gorge rouge, fièvre élevée","Angine"
"diarrhée, nausée, maux d’estomac","Gastro-entérite"
"gorge rouge, fièvre, douleur à la déglutition, fièvre élevée, difficulté à avaler","Angine"
"douleurs musculaires, transpiration abondante, nausée, fièvre élevée","Paludisme"
"perte d’odorat, difficultés respiratoires, douleurs musculaires, perte du goût, maux de tête","Covid-19"
"nez qui coule, nez bouché, toux","Grippe"
"fièvre légère, crampes abdominales, maux de ventre","Gastro-entérite"
"maux de tête, gorge irritée, nez bouché","Rhume"
"fatigue, frissons, maux de tête, fièvre","Grippe"
"crampes abdominales, fièvre légère, fatigue","Gastro-entérite"
"fatigue, fièvre légère, maux de ventre, vomissements","Gastro-entérite"
"amygdales gonflées, ganglions enflés, gorge très douloureuse","Angine"
"fièvre, perte du goût, fatigue","Covid-19"
"douleurs abdominales, douleurs musculaires, fatigue, fièvre élevée","Paludisme"
"fatigue, diarrhée, nausée","Gastro-entérite"
"fatigue, maux d’estomac, maux de ventre","Gastro-entérite"
"maux de ventre, vomissements, fièvre légère, crampes abdominales, nausée","Gastro-entérite"
"toux légère, nez bouché, éternuements","Rhume"
"fatigue, difficultés respiratoires, toux sèche","Covid-19"
"transpiration abondante, maux de tête, fatigue","Paludisme"
"toux sèche, fièvre, perte d’odorat","Covid-19"
"diarrhée, crampes abdominales, perte d’appétit","Gastro-entérite"
"gorge irritée, nez qui coule, maux de gorge, maux de tête","Rhume"
"douleurs musculaires, frissons, fièvre élevée, transpiration abondante","Paludisme"
"gorge irritée, nez qui coule, toux légère, maux de gorge","Rhume"
"vomissements, crampes abdominales, fièvre légère, maux de ventre, diarrhée","Gastro-entérite"
"maux d’estomac, crampes abdominales, diarrhée, nausée, vomissements","Gastro-entérite"
"gorge très douloureuse, gorge rouge, fièvre élevée","Angine"
"gorge très douloureuse, fièvre, ganglions enflés, difficulté à avaler, amygdales gonflées","Angine"
"diarrhée, maux d’estomac, crampes abdominales","Gastro-entérite"
"difficulté à avaler, ganglions enflés, amygdales gonflées","Angine"
"courbatures, fièvre, maux de gorge, maux de tête","Grippe"
"nausée, douleurs musculaires, nausées","Paludisme"
"fièvre, amygdales gonflées, difficulté à avaler, douleur à la déglutition, gorge rouge","Angine"
"fièvre, maux de tête, toux sèche, perte du goût","Covid-19"
"toux légère, fatigue légère, gorge irritée","Rhume"
"amygdales gonflées, gorge très douloureuse, ganglions enflés, fièvre","Angine"
"perte du goût, douleurs musculaires, fièvre","Covid-19"
"gorge très douloureuse, amygdales gonflées, difficulté à avaler, gorge rouge","Angine"
"maux d’estomac, diarrhée, vomissements, maux de ventre, nausée","Gastro-entérite"
"perte du goût, fièvre, fièvre modérée, fatigue","Covid-19"
"maux de gorge, toux légère, éternuements, gorge irritée","Rhume"
"nez qui coule, maux de gorge, courbatures, fatigue, toux","Grippe"
"maux de gorge, maux de tête, nez bouché","Grippe"
"fatigue légère, maux de gorge, gorge irritée, nez bouché, nez qui coule","Rhume"
"maux de tête, perte d’odorat, douleurs musculaires","Covid-19"
"diarrhée, fatigue, perte d’appétit, vomissements","Gastro-entérite"
"douleurs abdominales, fatigue, frissons","Paludisme"
"diarrhée, nausée, crampes abdominales","Gastro-entérite"
"frissons, fièvre, nez qui coule","Grippe"
"fièvre élevée, amygdales gonflées, gorge rouge, fièvre, gorge très douloureuse","Angine"
"ganglions enflés, douleur à la déglutition, amygdales gonflées","Angine"
"maux de ventre, fièvre légère, maux d’estomac, fatigue, vomissements","Gastro-entérite"
"fièvre élevée, ganglions enflés, fièvre","Angine"
"fièvre élevée, fièvre, difficulté à avaler","Angine"
"fatigue, perte du goût, maux de tête","Covid-19"
"nez bouché, courbatures, frissons, fatigue, toux","Grippe"
"douleur à la déglutition, ganglions enflés, gorge très douloureuse, fièvre, amygdales gonflées","Angine"
"amygdales gonflées, fièvre élevée, gorge rouge, douleur à la déglutition, ganglions enflés","Angine"
"transpiration abondante, nausées, douleurs musculaires, douleurs abdominales","Paludisme"
"maux de tête, courbatures, nez bouché, frissons, fièvre","Grippe"
"toux, maux de gorge, fatigue, fièvre","Grippe"
"fatigue, courbatures, nez qui coule","Grippe"
"douleurs abdominales, transpiration abondante, fatigue, nausée","Paludisme"
"éternuements, nez qui coule, fatigue légère, maux de tête","Rhume"
"maux de ventre, perte d’appétit, maux d’estomac, crampes abdominales","Gastro-entérite"
"éternuements, nez qui coule, toux légère, nez bouché, maux de tête","Rhume"
"frissons, douleurs abdominales, nausées","Paludisme"
"douleurs abdominales, douleurs musculaires, fièvre élevée, nausées","Paludisme"
"difficulté à avaler, ganglions enflés, amygdales gonflées, fièvre élevée","Angine"
"fièvre élevée, douleurs abdominales, fatigue","Paludisme"
"perte du goût, perte d’odorat, douleurs musculaires, fatigue","Covid-19"
"amygdales gonflées, douleur à la déglutition, difficulté à avaler, fièvre, gorge rouge","Angine"
"toux sèche, maux de tête, fièvre modérée","Covid-19"
"nausée, maux de tête, fatigue, douleurs musculaires, fièvre élevée","Paludisme"
"nez qui coule, maux de tête, maux de gorge","Grippe"
"courbatures, toux sèche, frissons, toux","Grippe"
"toux, courbatures, nez bouché, frissons","Grippe"
"fièvre légère, maux de ventre, maux d’estomac","Gastro-entérite"
"diarrhée, perte d’appétit, fatigue","Gastro-entérite"
"fatigue, douleurs abdominales, fièvre élevée, transpiration abondante, nausée","Paludisme"
"nez bouché, éternuements, gorge irritée, toux légère, fatigue légère","Rhume"
"transpiration abondante, fièvre élevée, maux de tête, nausées, douleurs abdominales","Paludisme"
"gorge très douloureuse, fièvre élevée, difficulté à avaler","Angine"
"amygdales gonflées, ganglions enflés, gorge très douloureuse, difficulté à avaler, fièvre élevée","Angine"
"fièvre légère, nausée, diarrhée","Gastro-entérite"
"fièvre, perte d’odorat, fatigue","Covid-19"
"gorge rouge, fièvre élevée, douleur à la déglutition","Angine"
"perte d’odorat, fatigue, fièvre modérée","Covid-19"
"douleurs abdominales, nausée, douleurs musculaires, transpiration abondante, maux de tête","Paludisme"
"frissons, fièvre élevée, nausées, maux de tête, douleurs musculaires","Paludisme"
"ganglions enflés, douleur à la déglutition, gorge très douloureuse","Angine"
"perte du goût, douleurs musculaires, difficultés respiratoires, fièvre, maux de tête","Covid-19"
"fièvre, maux de tête, toux sèche, maux de gorge, courbatures","Grippe"
"nez bouché, toux, fièvre, toux sèche, nez qui coule","Grippe"
"nausée, diarrhée, fatigue, fièvre légère, maux d’estomac","Gastro-entérite"
"nausée, nausées, frissons, douleurs abdominales, fatigue","Paludisme"
"difficulté à avaler, douleur à la déglutition, fièvre, gorge très douloureuse, amygdales gonflées","Angine"
"difficultés respiratoires, toux sèche, fièvre, perte du goût","Covid-19"
"toux sèche, fièvre, fatigue","Covid-19"
"fièvre, courbatures, frissons","Grippe"
"fatigue, fièvre légère, diarrhée, crampes abdominales","Gastro-entérite"
"fatigue, maux de tête, fièvre élevée, douleurs abdominales","Paludisme"
"toux sèche, courbatures, maux de gorge, maux de tête, fièvre","Grippe"
"toux légère, fatigue légère, maux de tête, nez qui coule, gorge irritée","Rhume"
"maux de gorge, nez qui coule, éternuements, maux de tête","Rhume"
"fatigue, frissons, toux, fièvre","Grippe"
"nausée, fatigue, nausées, transpiration abondante","Paludisme"
"nausées, fièvre élevée, maux de tête, douleurs abdominales, douleurs musculaires","Paludisme"
"fièvre, difficultés respiratoires, douleurs musculaires, fatigue","Covid-19"
"douleur à la déglutition, fièvre, difficulté à avaler","Angine"
"douleurs musculaires, frissons, fatigue, douleurs abdominales, transpiration abondante","Paludisme"
"perte du goût, fièvre, fatigue","Covid-19"
"toux sèche, difficultés respiratoires, douleurs musculaires, fièvre modérée","Covid-19"
"fièvre légère, perte d’appétit, nausée, diarrhée","Gastro-entérite"
"toux sèche, difficultés respiratoires, perte du goût, maux de tête","Covid-19"
"fièvre, courbatures, frissons","Grippe"
"crampes abdominales, maux d’estomac, perte d’appétit, vomissements","Gastro-entérite"
"amygdales gonflées, ganglions enflés, douleur à la déglutition, fièvre, fièvre élevée","Angine"
"fatigue, maux d’estomac, nausée","Gastro-entérite"
"nez qui coule, maux de tête, fatigue légère, gorge irritée, éternuements","Rhume"
"perte d’appétit, vomissements, fatigue, maux de ventre, fièvre légère","Gastro-entérite"
"nausées, nausée, douleurs abdominales","Paludisme"
"nez qui coule, éternuements, maux de gorge, gorge irritée, toux légère","Rhume"
"vomissements, diarrhée, fièvre légère","Gastro-entérite"
"vomissements, nausée, fatigue, crampes abdominales","Gastro-entérite"
"fièvre élevée, nausées, transpiration abondante, douleurs abdominales, douleurs musculaires","Paludisme"
"nez qui coule, fièvre, fatigue, courbatures, toux sèche","Grippe"
"perte d’odorat, fièvre modérée, fatigue","Covid-19"
"gorge irritée, maux de tête, toux légère","Rhume"
"fièvre, perte du goût, fatigue","Covid-19"
"maux d’estomac, nausée, maux de ventre","Gastro-entérite"
"toux sèche, fièvre, perte du goût, fièvre modérée, fatigue","Covid-19"
"gorge irritée, fatigue légère, éternuements, toux légère","Rhume"
"frissons, douleurs musculaires, transpiration abondante, nausée","Paludisme"
"fièvre, toux sèche, fatigue, douleurs musculaires, difficultés respiratoires","Covid-19"
"maux de tête, toux sèche, nez bouché, toux","Grippe"
"douleurs musculaires, douleurs abdominales, fièvre élevée, maux de tête, frissons","Paludisme"
"fatigue, perte du goût, perte d’odorat, fièvre modérée","Covid-19"
"éternuements, maux de gorge, toux légère, fatigue légère, nez bouché","Rhume"
"douleurs musculaires, fièvre, perte d’odorat","Covid-19"
"crampes abdominales, maux d’estomac, vomissements","Gastro-entérite"
"maux de tête, fatigue, perte du goût, difficultés respiratoires, toux sèche","Covid-19"
"éternuements, nez bouché, maux de tête, toux légère","Rhume"
"frissons, nez bouché, maux de gorge","Grippe"
"nausée, fièvre légère, fatigue, perte d’appétit","Gastro-entérite"
"nez qui coule, fatigue légère, maux de gorge, toux légère","Rhume"
"éternuements, nez bouché, maux de gorge, gorge irritée, maux de tête","Rhume"
"toux sèche, fièvre, maux de gorge","Grippe"
"maux de tête, toux légère, maux de gorge","Rhume"
"gorge rouge, difficulté à avaler, fièvre, gorge très douloureuse","Angine"
"fatigue, maux de tête, frissons","Paludisme"
"fièvre modérée, toux sèche, difficultés respiratoires","Covid-19"
"difficulté à avaler, gorge rouge, ganglions enflés, amygdales gonflées","Angine"
"gorge rouge, fièvre, ganglions enflés, difficulté à avaler, amygdales gonflées","Angine"
"vomissements, maux d’estomac, diarrhée","Gastro-entérite"
"nausées, transpiration abondante, maux de tête, douleurs musculaires, fatigue","Paludisme"
"maux de tête, douleurs musculaires, fièvre modérée, perte d’odorat","Covid-19"
"fatigue, transpiration abondante, fièvre élevée","Paludisme"
"fièvre légère, crampes abdominales, perte d’appétit","Gastro-entérite"
"fatigue légère, maux de gorge, éternuements, nez qui coule, nez bouché","Rhume"
"gorge rouge, amygdales gonflées, difficulté à avaler, gorge très douloureuse, douleur à la déglutition","Angine"
"nausée, transpiration abondante, douleurs abdominales, fatigue, frissons","Paludisme"
"maux de tête, perte du goût, fièvre modérée","Covid-19"
"maux de tête, nausées, frissons, douleurs abdominales, fatigue","Paludisme"
"douleur à la déglutition, gorge très douloureuse, ganglions enflés, fièvre","Angine"
"frissons, fièvre élevée, fatigue, nausées, douleurs musculaires","Paludisme"
"vomissements, crampes abdominales, diarrhée","Gastro-entérite"
"douleurs musculaires, fièvre modérée, maux de tête, fièvre","Covid-19"
"toux légère, maux de tête, maux de gorge","Rhume"
"douleurs abdominales, maux de tête, fatigue","Paludisme"
"fièvre modérée, difficultés respiratoires, fièvre","Covid-19"
"nausée, maux d’estomac, diarrhée, fatigue","Gastro-entérite"
"toux légère, éternuements, fatigue légère, maux de gorge","Rhume"
"fièvre légère, maux de ventre, fatigue","Gastro-entérite"
"douleur à la déglutition, fièvre, difficulté à avaler, ganglions enflés, gorge rouge","Angine"
"fièvre légère, crampes abdominales, diarrhée, maux de ventre","Gastro-entérite"
"maux de tête, fatigue légère, nez bouché","Rhume"
"nausées, maux de tête, transpiration abondante","Paludisme"
"diarrhée, maux d’estomac, fièvre légère","Gastro-entérite"
"courbatures, maux de gorge, frissons","Grippe"
"fatigue légère, nez bouché, nez qui coule","Rhume"
"maux d’estomac, nausée, perte d’appétit, vomissements","Gastro-entérite"
"toux sèche, nez qui coule, nez bouché, toux","Grippe"
"crampes abdominales, perte d’appétit, nausée, maux de ventre, maux d’estomac","Gastro-entérite"
"nausée, perte d’appétit, crampes abdominales, fatigue","Gastro-entérite"
"gorge très douloureuse, gorge rouge, difficulté à avaler","Angine"
"difficulté à avaler, douleur à la déglutition, gorge très douloureuse, amygdales gonflées","Angine"
"douleurs musculaires, toux sèche, fièvre modérée, fatigue","Covid-19"
"transpiration abondante, frissons, maux de tête, douleurs abdominales","Paludisme"
"perte d’appétit, maux de ventre, crampes abdominales, nausée, maux d’estomac","Gastro-entérite"
"nez qui coule, maux de tête, nez bouché, gorge irritée, maux de gorge","Rhume"
"perte du goût, perte d’odorat, douleurs musculaires, difficultés respiratoires, fièvre","Covid-19"
"gorge rouge, difficulté à avaler, ganglions enflés, fièvre","Angine"
"maux de tête, nez qui coule, maux de gorge","Rhume"
"gorge très douloureuse, fièvre élevée, gorge rouge, fièvre","Angine"
"nez bouché, frissons, courbatures","Grippe"
"maux de ventre, diarrhée, fatigue, perte d’appétit","Gastro-entérite"
"maux de gorge, toux légère, nez qui coule, fatigue légère","Rhume"
"douleurs abdominales, fatigue, nausée","Paludisme"
"perte d’appétit, diarrhée, vomissements, maux de ventre","Gastro-entérite"
"transpiration abondante, fièvre élevée, douleurs musculaires, frissons","Paludisme"
"maux de gorge, toux, maux de tête, toux sèche, fièvre","Grippe"
"douleurs abdominales, nausée, nausées, transpiration abondante","Paludisme"
"maux de gorge, maux de tête, nez qui coule, fatigue légère, nez bouché","Rhume"
"fièvre légère, crampes abdominales, diarrhée, fatigue","Gastro-entérite"
"maux de gorge, toux légère, nez bouché, éternuements","Rhume"
"toux sèche, frissons, nez qui coule, maux de gorge","Grippe"
"frissons, fatigue, maux de tête, nausée","Paludisme"
"maux de ventre, crampes abdominales, vomissements","Gastro-entérite"
"fatigue, douleurs musculaires, frissons, maux de tête","Paludisme"
"amygdales gonflées, gorge rouge, difficulté à avaler, fièvre, douleur à la déglutition","Angine"
"gorge rouge, fièvre élevée, amygdales gonflées","Angine"
"frissons, toux, fièvre, maux de tête, nez qui coule","Grippe"
"amygdales gonflées, fièvre élevée, fièvre, difficulté à avaler","Angine"
"maux de tête, courbatures, toux, frissons","Grippe"
"éternuements, maux de tête, toux légère, gorge irritée","Rhume"
"maux de tête, nez bouché, toux légère, maux de gorge","Rhume"
"douleurs musculaires, nausée, fatigue, fièvre élevée, frissons","Paludisme"
"vomissements, fièvre légère, maux de ventre","Gastro-entérite"
"douleurs musculaires, transpiration abondante, frissons, maux de tête","Paludisme"
"toux sèche, maux de gorge, courbatures, nez qui coule","Grippe"
"fatigue, crampes abdominales, maux d’estomac, fièvre légère, perte d’appétit","Gastro-entérite"
"fatigue légère, maux de tête, toux légère, maux de gorge, éternuements","Rhume"
"fièvre modérée, perte d’odorat, maux de tête, fatigue, difficultés respiratoires","Covid-19"
"toux, nez bouché, courbatures, fièvre, toux sèche","Grippe"
"fatigue, nausée, crampes abdominales, maux de ventre, fièvre légère","Gastro-entérite"
"courbatures, fièvre, toux","Grippe"
"douleurs musculaires, perte d’odorat, fièvre modérée, maux de tête","Covid-19"
"maux de gorge, nez bouché, gorge irritée","Rhume"
"nez qui coule, gorge irritée, maux de tête, toux légère, nez bouché","Rhume"
"amygdales gonflées, fièvre élevée, fièvre, douleur à la déglutition","Angine"
"difficulté à avaler, gorge rouge, douleur à la déglutition, gorge très douloureuse, ganglions enflés","Angine"
"diarrhée, fatigue, perte d’appétit, maux d’estomac","Gastro-entérite"
"maux de ventre, perte d’appétit, maux d’estomac","Gastro-entérite"
"nez bouché, courbatures, fièvre, fatigue","Grippe"
"fièvre légère, nausée, perte d’appétit, maux de ventre, crampes abdominales","Gastro-entérite"
"nez bouché, fièvre, courbatures, frissons, toux","Grippe"
"maux de tête, difficultés respiratoires, perte d’odorat, douleurs musculaires, fièvre modérée","Covid-19"
"fatigue légère, nez qui coule, éternuements, maux de tête","Rhume"
"fièvre élevée, gorge rouge, difficulté à avaler","Angine"
"fièvre, fatigue, toux sèche, difficultés respiratoires","Covid-19"
"nausée, fatigue, perte d’appétit","Gastro-entérite"
"ganglions enflés, difficulté à avaler, gorge rouge, fièvre, gorge très douloureuse","Angine"
"nausées, maux de tête, transpiration abondante","Paludisme"
"toux sèche, difficultés respiratoires, fièvre modérée, fatigue, maux de tête","Covid-19"
"toux sèche, perte d’odorat, douleurs musculaires","Covid-19"
"courbatures, nez qui coule, frissons","Grippe"
"fièvre, ganglions enflés, gorge très douloureuse, fièvre élevée, difficulté à avaler","Angine"
"fièvre, fatigue, douleurs musculaires, perte du goût","Covid-19"
"fièvre élevée, gorge très douloureuse, ganglions enflés, gorge rouge","Angine"
"fièvre, amygdales gonflées, difficulté à avaler, fièvre élevée","Angine"
"maux de tête, toux sèche, fièvre","Covid-19"
